Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,RelatedPurchase,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,169,1,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,1888,1888,15593,1,151,6,4,24,0,0,1,1,0,1,0,0,0,0,0,1
23,193,1,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,3033,3033,25132,1,111,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
24,201,1,57,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,1087,1087,9136,1,30,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0
25,202,0,260,34,11,74,0,2,3,5,0,1,0,0,0,0,0,1,,2773,2773,22962,1,28,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
26,208,1,32,26,2,32,1,0,0,0,0,0,1,0,0,0,0,1,,1695,1695,13996,1,42,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
27,214,0,177,24,1,24,0,0,0,0,0,1,0,0,0,0,0,1,,1668,1668,13780,1,108,8,2,14,0,1,0,0,0,1,0,0,0,0,0,1
28,224,1,33,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,,3302,3302,27261,0,90,14,4,32,0,0,2,1,0,0,0,0,0,0,0,0
29,225,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0,,3489,3489,28967,1,360,30,9,74,1,2,3,0,1,0,1,0,0,0,0,1
30,256,1,133,32,2,36,1,0,1,0,0,0,0,1,0,0,0,1,,516,516,4722,1,175,30,2,32,1,0,1,0,0,0,0,0,0,0,0,0
31,257,1,194,28,2,30,1,0,1,0,0,0,0,1,0,0,0,1,,2232,2232,18401,1,153,4,1,4,0,0,0,0,0,1,0,0,0,0,0,1
32,263,0,32,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1,,3403,3403,28155,0,126,16,1,16,0,1,0,0,0,0,0,0,0,0,0,0
33,265,1,352,12,11,66,4,1,3,1,0,1,0,2,0,1,0,4,,3893,3893,32113,1,324,30,2,38,1,0,1,0,0,1,0,0,0,0,0,1
34,266,1,319,12,8,32,2,1,1,1,0,0,1,0,0,0,0,1,,102,102,874,1,274,14,11,68,4,1,2,1,0,1,2,2,0,1,0,6
35,267,1,242,10,5,32,0,0,2,0,1,1,0,0,0,0,0,1,,596,596,5385,1,227,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
36,275,1,78,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,,2624,2624,21773,0,117,22,3,36,0,0,2,0,0,1,0,0,0,0,0,1
37,277,1,223,16,7,44,2,1,1,1,0,2,0,1,0,1,0,4,,396,396,3569,1,266,10,4,32,0,0,0,0,2,1,0,0,1,1,0,3
38,282,1,285,14,11,52,2,0,3,4,0,1,1,1,0,0,0,3,,499,499,4549,0,68,12,4,26,0,1,0,2,0,0,0,0,0,0,0,0
39,288,0,312,36,10,58,2,2,2,1,1,1,1,1,1,1,0,5,,3935,3935,32382,1,109,16,2,24,0,0,2,0,0,0,0,0,0,0,0,0
40,330,0,211,6,11,44,3,2,2,0,0,2,1,2,0,1,0,6,,2865,2865,23654,1,230,32,1,32,0,0,1,0,0,0,0,1,0,0,0,1
41,333,1,280,30,2,34,0,1,1,0,0,0,0,1,0,0,0,1,,3024,3024,25010,1,57,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
42,340,1,320,28,3,38,0,0,2,0,0,1,0,0,0,0,0,1,,1460,1460,12108,1,126,4,5,28,3,0,1,0,0,0,0,0,0,0,0,0
43,345,1,234,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,,2617,2617,21742,1,293,16,5,34,0,2,0,0,0,0,0,0,0,0,0,0
44,347,1,105,8,7,40,1,1,1,0,2,0,1,0,0,0,0,1,,1497,1497,12428,0,194,10,6,22,0,0,1,0,2,0,0,1,1,0,1,2
45,353,0,317,10,3,28,0,0,0,0,0,1,1,0,0,0,0,2,,2427,2427,19968,1,300,16,1,16,0,0,0,0,0,1,0,1,0,0,0,2
46,354,0,49,22,3,32,0,0,1,1,0,1,0,0,0,0,0,1,,2842,2842,23541,1,145,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
47,356,0,189,16,9,68,1,0,1,3,1,1,2,0,0,0,0,3,,3892,3892,32107,1,65,36,2,42,1,0,0,0,0,0,0,1,0,0,0,1
48,391,1,143,14,9,38,2,2,1,1,1,2,0,0,0,0,0,2,,2857,2857,23604,0,93,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0
49,397,1,254,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,,3141,3141,25930,1,223,2,5,12,0,0,0,0,0,1,0,0,0,0,0,1
50,401,1,355,16,5,28,1,0,2,0,1,1,0,0,0,0,0,1,,2753,2753,22762,1,163,14,6,30,1,2,0,2,0,0,0,0,0,0,0,0
51,405,0,43,24,2,26,1,0,0,0,0,1,0,0,0,0,0,1,,3780,3780,31287,1,316,14,2,20,0,1,0,0,1,0,0,0,0,0,0,0
52,409,1,233,30,8,54,0,1,2,2,0,2,1,0,0,0,0,3,,529,529,4796,1,372,30,11,60,4,1,3,1,1,1,0,1,1,1,0,4
53,411,1,210,2,3,20,0,1,0,0,0,0,1,0,0,0,0,1,,686,686,6058,1,139,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
54,436,0,310,22,5,32,1,1,0,1,0,2,0,0,0,0,0,2,,441,441,3945,1,90,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
55,438,1,378,10,7,50,0,1,1,1,0,2,1,0,0,0,0,3,,3875,3875,31959,1,407,10,12,80,2,0,4,2,0,0,1,0,0,0,0,1
56,439,0,305,6,9,40,2,1,1,1,0,2,1,0,0,0,0,3,,1772,1772,14592,1,140,4,8,44,2,0,1,0,1,0,0,1,0,0,0,1
57,440,1,458,10,12,44,1,0,3,1,1,2,0,2,1,1,1,6,,3363,3363,27768,1,100,14,1,14,0,0,0,0,0,0,0,0,0,0,1,0
58,444,1,235,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1,,954,954,7874,1,69,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0
59,450,1,148,22,3,30,1,0,2,0,0,0,0,0,0,0,0,0,,3369,3369,27832,0,26,4,1,4,0,0,0,0,0,1,0,0,0,0,0,1
60,453,1,154,10,7,46,0,1,0,1,0,1,3,0,0,0,1,4,,861,861,7189,1,145,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
61,477,0,123,12,2,16,1,0,0,0,0,0,0,0,0,0,1,0,,747,747,6410,0,377,14,12,60,3,2,1,2,1,1,2,0,0,0,0,3
62,480,1,118,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,,2524,2524,20812,1,405,10,8,38,2,0,1,1,1,0,1,0,1,0,0,2
63,484,1,329,12,8,36,0,1,0,0,1,0,1,0,0,0,0,1,,3687,3687,30610,0,259,8,2,10,0,0,0,0,0,2,2,0,0,0,0,4
64,505,1,350,4,5,16,0,0,2,0,0,0,0,1,0,0,0,1,,679,679,5982,0,63,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0
65,506,1,235,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,,683,683,6025,0,17,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0
66,553,1,126,16,8,48,2,1,1,2,0,0,2,1,0,0,0,3,,3801,3801,31410,0,323,12,6,34,0,0,1,3,0,0,1,1,0,0,1,2
67,557,0,274,34,2,40,1,0,0,1,0,0,0,0,0,0,0,0,,1952,1952,16150,1,286,14,10,66,2,2,3,1,0,0,0,0,0,0,0,0
68,560,1,299,12,3,26,0,0,0,0,0,0,2,0,0,0,0,2,,1410,1410,11734,1,326,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
69,565,0,294,10,3,20,0,1,0,0,1,0,0,0,0,0,0,0,,2452,2452,20110,1,184,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
70,567,1,135,16,8,60,3,1,0,1,0,2,1,0,0,2,0,5,,2286,2286,18737,1,228,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
71,579,0,230,10,2,14,1,0,0,0,0,0,0,0,0,0,0,0,,2062,2062,17075,0,272,30,2,36,0,0,1,0,0,0,0,0,0,0,0,0
72,582,1,140,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,,108,108,931,1,166,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
73,585,1,307,24,9,46,3,2,0,2,2,0,0,0,0,0,0,0,,824,824,6922,1,143,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
74,592,1,201,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,,3625,3625,30081,1,271,16,1,16,0,0,0,1,0,1,0,0,0,0,0,1
75,594,1,193,16,2,20,1,0,0,0,0,1,0,0,0,0,0,1,,119,119,1012,1,268,14,2,18,1,0,0,0,0,1,0,0,0,0,0,1
76,609,1,112,36,1,36,0,0,1,0,0,0,0,0,0,0,0,0,,2353,2353,19306,1,230,12,1,12,0,0,0,0,0,2,0,0,0,0,0,2
77,612,0,277,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,,3281,3281,27059,0,121,36,4,48,1,0,0,2,0,1,0,0,0,0,0,1
78,619,1,49,10,2,14,0,0,0,1,0,0,0,0,0,0,0,0,,2300,2300,18897,1,328,10,2,12,0,0,0,0,0,0,0,1,0,0,0,1
79,625,1,149,6,3,18,0,0,0,0,1,0,0,0,0,0,0,0,,2182,2182,18009,1,46,6,2,14,1,0,0,0,0,0,0,0,0,0,0,0
80,633,1,294,24,2,30,0,0,1,0,1,0,0,0,0,0,0,0,,2153,2153,17768,1,409,12,10,68,3,0,2,0,2,0,0,0,0,0,0,0
81,644,1,302,6,5,20,0,0,1,0,0,1,0,0,0,0,0,1,,1336,1336,11111,1,134,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
82,649,1,138,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,,3830,3830,31587,1,29,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
83,650,1,195,12,2,16,0,0,0,0,1,0,0,0,0,0,0,0,,2450,2450,20106,0,214,14,1,14,0,0,0,1,0,3,0,0,0,0,0,3
84,658,1,101,16,2,22,0,0,2,0,0,0,0,0,0,0,0,0,,1487,1487,12361,1,192,14,1,14,0,0,0,0,0,1,0,0,0,0,1,1
85,687,0,178,26,8,56,1,1,2,0,0,2,2,1,0,1,0,6,,711,711,6196,1,49,12,3,26,0,1,1,0,0,0,0,0,0,0,0,0
86,706,1,128,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,,2467,2467,20277,1,177,14,11,36,1,0,3,0,1,0,0,0,0,0,0,0
87,708,0,277,30,11,78,2,0,1,1,2,2,3,0,0,0,1,5,,2332,2332,19164,1,217,10,1,10,0,0,0,0,0,1,0,0,0,0,0,1
88,712,1,306,10,2,16,0,0,0,0,0,1,0,0,0,0,0,1,,2653,2653,22000,1,148,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
89,721,1,292,32,2,40,0,0,0,1,0,1,0,0,0,1,0,2,,819,819,6910,0,206,32,2,36,0,0,1,0,0,1,0,0,0,0,0,1
90,723,1,215,2,8,36,0,0,0,0,1,3,2,0,0,0,1,5,,3441,3441,28530,1,256,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
91,743,1,240,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,,1968,1968,16311,1,99,14,1,14,0,1,0,0,0,0,0,2,0,0,0,2
92,759,0,208,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,771,771,6628,0,162,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
93,761,1,141,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,972,972,8001,1,167,14,3,24,0,1,1,0,1,0,0,1,0,0,0,1
94,764,0,253,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,126,126,1088,0,98,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
95,775,1,258,14,5,36,0,0,4,0,1,0,0,0,0,0,0,0,,2292,2292,18860,0,335,4,11,54,4,1,3,0,0,0,0,0,0,1,1,1
96,795,1,453,14,12,82,1,1,3,1,3,0,3,1,1,0,0,5,,2826,2826,23376,0,281,14,2,18,0,1,1,0,0,0,0,0,0,0,0,0
97,800,1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,,894,894,7455,1,233,16,2,18,0,0,0,1,0,0,1,0,0,0,0,1
98,803,0,187,10,7,30,0,1,1,0,0,1,2,0,0,0,1,3,,2324,2324,19079,1,87,6,3,18,0,0,1,0,0,0,0,0,0,0,0,0
99,808,0,271,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0,,251,251,2203,1,173,20,2,28,0,0,1,1,0,0,0,0,0,0,0,0
100,844,1,288,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,,1616,1616,13369,1,285,16,5,40,1,2,0,0,1,0,0,0,1,0,1,1
101,850,0,194,12,10,62,3,1,2,1,1,0,1,0,0,0,0,1,,1081,1081,9055,1,400,14,7,38,1,0,0,1,1,1,2,0,0,0,0,3
102,874,1,274,14,11,68,4,1,2,1,0,1,2,2,0,1,0,6,,3871,3871,31928,1,93,24,6,48,2,0,1,0,0,0,0,0,0,0,0,0
103,876,0,176,6,7,20,2,1,1,0,0,0,0,1,0,0,0,1,,2838,2838,23513,0,172,10,1,10,0,0,0,0,0,1,0,0,0,0,0,1
104,883,1,182,4,10,34,2,2,0,1,0,0,1,0,0,0,0,1,,316,316,2819,1,101,10,2,18,0,1,0,0,0,0,0,0,0,0,0,0
105,903,0,64,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,,2133,2133,17633,1,133,34,2,38,0,0,1,0,0,0,0,2,0,0,0,2
106,910,0,95,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,190,190,1577,1,311,2,9,34,2,1,2,2,0,0,0,0,0,0,0,0
107,915,1,308,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,,2225,2225,18351,1,343,14,3,24,0,0,0,1,1,1,0,0,0,0,0,1
108,931,1,166,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,,2736,2736,22667,1,131,14,2,20,0,0,1,1,0,0,0,0,0,0,0,0
109,940,1,224,28,2,32,0,0,0,1,0,1,0,0,0,1,0,2,,3397,3397,28095,1,246,16,12,58,4,0,1,1,2,0,0,0,0,0,0,0
110,942,0,123,14,4,32,1,0,1,0,0,1,0,0,0,0,0,1,,2137,2137,17661,1,91,8,2,16,0,0,0,1,0,0,0,0,0,0,0,0
111,950,1,75,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,,2310,2310,18984,1,456,16,11,78,2,0,2,4,1,2,0,0,0,0,0,2
112,954,1,137,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0,,2968,2968,24554,1,265,30,11,52,3,1,4,1,0,0,0,0,0,0,1,0
113,966,1,266,2,6,30,1,1,0,0,0,1,1,0,0,0,0,2,,1321,1321,10978,1,294,10,3,22,0,0,1,1,0,0,0,0,0,0,0,0
114,985,1,258,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,,3276,3276,27009,0,154,34,2,40,2,0,0,0,0,0,3,1,0,0,0,4
115,999,1,419,14,8,48,1,1,4,1,0,0,1,0,0,0,0,1,,2020,2020,16704,1,63,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
116,1002,0,196,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,,2828,2828,23400,0,215,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
117,1010,1,31,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,2022,2022,16712,1,226,20,10,80,2,1,5,0,1,0,0,0,0,0,1,0
118,1011,1,284,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,2419,2419,19886,0,304,12,8,30,0,1,2,1,0,0,0,0,0,0,0,0
119,1012,1,268,14,2,18,1,0,0,0,0,1,0,0,0,0,0,1,,1875,1875,15482,1,102,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
120,1048,1,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,,820,820,6911,1,59,16,1,16,0,0,0,1,0,0,0,0,0,0,1,0
121,1054,0,74,32,2,36,0,0,1,0,0,0,1,0,0,0,0,1,,3174,3174,26169,1,95,20,1,20,0,0,0,0,0,0,1,0,0,0,0,1
122,1075,1,145,16,2,22,1,1,0,0,0,0,0,0,0,0,0,0,,595,595,5383,0,175,16,2,20,1,0,0,1,0,0,0,0,0,0,0,0
123,1076,0,139,30,2,34,0,0,1,0,1,0,0,0,1,0,0,1,,2229,2229,18365,1,170,14,2,22,1,1,0,0,0,0,1,0,0,0,0,1
124,1082,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,1606,1606,13306,0,147,36,2,42,0,0,1,0,0,0,0,0,0,0,0,0
125,1087,1,60,34,1,34,0,0,0,0,1,0,0,0,0,0,0,0,,1224,1224,10238,1,247,14,12,64,2,0,2,1,1,0,5,1,0,0,0,6
126,1088,0,98,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0,,1743,1743,14352,1,277,12,6,44,2,0,1,1,0,0,0,0,0,0,0,0
127,1093,1,263,12,8,58,1,1,3,0,0,1,1,0,0,0,0,2,,3664,3664,30469,1,278,8,9,28,0,1,2,2,0,0,1,0,1,0,0,2
128,1095,1,312,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,2001,2001,16586,0,291,6,1,6,0,0,0,0,0,0,1,0,0,0,0,1
129,1101,1,257,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,2120,2120,17496,0,389,16,9,60,0,1,5,1,1,0,2,0,0,0,0,2
130,1103,1,205,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,,805,805,6818,1,260,6,7,38,1,0,4,1,0,0,0,0,0,0,0,0
131,1119,1,285,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,,69,69,565,0,294,10,3,20,0,1,0,0,1,0,0,0,0,0,0,0
132,1121,1,122,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,663,663,5897,1,194,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0
133,1123,1,363,2,12,28,0,1,2,1,0,1,1,1,0,0,0,3,,2568,2568,21194,1,445,16,12,68,4,2,1,1,1,0,0,0,0,0,0,0
134,1131,1,302,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,3539,3539,29411,1,164,2,2,6,0,0,0,0,0,1,0,0,0,0,0,1
135,1138,1,51,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,,380,380,3340,1,26,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0
136,1141,1,35,18,2,22,1,0,1,0,0,0,0,1,0,0,0,1,,645,645,5778,1,117,34,1,34,0,0,1,0,0,0,0,0,0,0,0,0
137,1142,0,150,2,10,28,1,1,1,2,1,0,0,0,1,0,0,1,,2944,2944,24361,1,251,16,1,16,0,0,1,0,0,0,0,0,0,0,1,0
138,1149,1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,3537,3537,29390,1,184,14,6,46,0,0,3,1,1,1,0,0,0,0,0,1
139,1151,1,244,32,1,32,0,0,1,0,0,0,0,0,0,0,0,0,,3848,3848,31755,1,133,16,2,20,0,0,0,1,0,0,0,0,0,0,0,0
140,1160,1,64,32,1,32,0,0,0,0,0,0,1,0,0,0,0,1,,2823,2823,23361,0,286,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0
141,1161,1,89,4,2,6,0,0,0,0,0,0,0,0,0,0,1,0,,143,143,1170,0,163,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
142,1169,1,265,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,,3694,3694,30718,0,110,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
143,1170,0,163,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,,3394,3394,28067,1,155,4,4,24,0,0,1,0,0,0,0,0,0,0,0,0
144,1172,1,216,14,2,20,1,0,1,0,0,0,0,0,0,0,0,0,,3510,3510,29134,0,256,14,10,64,2,2,3,0,0,0,0,0,0,0,0,0
145,1185,1,283,14,9,46,1,2,3,0,2,0,1,2,1,0,0,4,,826,826,6940,1,65,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0
146,1195,1,294,14,2,22,0,1,0,0,1,0,0,0,0,0,0,0,,3362,3362,27766,1,181,10,1,10,0,0,0,0,0,0,0,0,0,0,1,0
147,1222,1,307,36,5,60,1,0,2,0,0,0,2,1,0,0,0,3,,3614,3614,30004,0,275,26,12,64,3,0,3,1,1,0,0,1,0,0,0,1
148,1227,1,131,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1,,816,816,6890,1,219,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
149,1230,1,359,18,9,48,1,0,3,2,0,2,1,0,0,0,0,3,,2923,2923,24112,1,176,32,6,68,0,0,2,2,0,0,0,0,1,0,0,1
150,1238,0,101,14,4,26,0,2,0,0,2,0,0,0,0,0,0,0,,772,772,6635,0,260,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
151,1248,1,246,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0,,835,835,6990,1,49,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
152,1253,0,285,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0,,1813,1813,14948,0,308,26,2,34,1,0,0,0,0,0,0,0,0,0,1,0
153,1261,1,157,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,,3696,3696,30732,1,161,14,3,26,0,0,1,1,0,0,0,0,0,0,0,0
154,1263,1,120,8,5,24,0,0,0,2,0,0,0,0,0,0,0,0,,932,932,7733,1,158,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
155,1283,1,217,14,2,20,1,0,0,0,1,0,0,0,0,0,0,0,,2031,2031,16805,1,216,16,6,48,2,0,1,1,0,0,0,0,0,0,1,0
156,1300,1,200,4,9,30,2,2,1,0,2,0,0,0,0,0,0,0,,2673,2673,22150,0,439,2,10,22,1,0,0,0,0,0,0,0,0,0,0,0
157,1313,1,100,12,4,32,0,0,0,2,1,0,0,0,0,0,0,0,,1857,1857,15307,0,112,8,2,16,0,0,1,0,0,0,0,0,0,0,0,0
158,1319,1,309,4,11,40,1,1,2,2,0,0,1,1,0,0,0,2,,3413,3413,28221,0,253,6,1,6,0,0,0,0,0,1,2,0,0,0,1,3
159,1323,0,354,6,10,56,1,3,4,1,0,0,0,0,0,0,0,0,,2794,2794,23119,1,307,14,2,22,1,0,1,0,0,0,0,0,0,0,0,0
160,1329,1,163,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,334,334,2959,1,311,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
161,1333,1,66,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0,,1463,1463,12149,0,267,10,9,34,2,0,2,1,1,0,2,0,0,0,1,2
162,1352,1,169,16,4,34,1,0,0,0,0,0,3,0,0,0,0,3,,3668,3668,30503,1,459,16,12,58,3,1,1,2,2,0,4,0,0,1,0,5
163,1353,1,224,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,1495,1495,12424,1,23,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
164,1357,0,222,16,2,20,0,1,1,0,0,0,0,1,0,0,0,1,,1058,1058,8774,1,192,18,4,36,0,0,3,0,1,0,0,0,0,0,0,0
165,1364,1,477,20,12,68,2,1,5,0,0,1,3,1,0,0,0,5,,911,911,7588,1,300,10,3,18,1,0,0,0,0,0,1,0,0,0,0,1
166,1366,1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,2288,2288,18751,0,347,36,6,54,1,0,4,0,0,0,0,1,0,1,0,2
167,1371,1,295,32,2,40,2,0,0,0,0,0,0,0,0,0,0,0,,2537,2537,20945,1,152,36,2,44,1,0,1,0,0,0,0,0,0,0,0,0
